#	Code	Name	Hex	R	G	B	C	M	Y	K
93	137	Cerulean Blue	#4C9EB8	76	158	184	67.0	18.0	13.0	0.0
94	379	Manganese Blue Hue	#1F8EC2	31	142	194	76.0	25.0	0.0	0.0
95	465	Payne's Gray	#393D3F	57	61	63	71.0	62.0	55.0	42.0
96	424	Ultramarine Ash	#3E6378	62	99	120	52.0	14.0	0.0	51.0
97	178	Cobalt Blue	#13629F	19	98	159	90.0	56.0	1.0	0.0
98	706	Winsor Blue (Red Shade)	#164F84	22	79	132	97.0	71.0	12.0	2.0
99	667	Ultramarine (Green Shade)	#165591	22	85	145	95.0	67.0	5.0	0.0
100	263	French Ultramarine	#154680	21	70	128	100.0	78.0	10.0	1.0
101	322	Indigo	#0D182C	13	24	44	100.0	88.0	42.0	51.0
102	707	Winsor Blue (Green Shade)	#203055	32	48	85	100.0	87.0	32.0	19.0
103	45	Royal Blue	#798AB8	121	138	184	51.0	38.0	0.0	0.0
104	538	Prussian Blue	#253564	37	53	100	100.0	89.0	24.0	9.0
105	414	Oriental Blue	#203780	32	55	128	100.0	90.0	0.0	2.0
106	427	Mineral Grey	#82858F	130	133	143	14.0	13.0	0.0	41.0
107	710	Smalt (Dumont's Blue)	#213172	33	49	114	100.0	91.0	0.0	13.0
108	180	Cobalt Blue Deep	#282F6A	40	47	106	100.0	96.0	16.0	4.0
109	321	Indanthrene Blue	#17193A	23	25	58	100.0	99.0	33.0	35.0
110	400	Mauve Blue Shade	#302A62	48	42	98	96.0	100.0	20.0	7.0
111	733	Winsor Violet (Dioxazine)	#532C6D	83	44	109	77.0	99.0	13.0	2.0
112	672	Ultramarine Violet	#714E88	113	78	136	60.0	78.0	7.0	0.0
113	491	Permanent Mauve	#532B57	83	43	87	70.0	96.0	29.0	16.0
114	192	Cobalt Violet	#883E76	136	62	118	46.0	88.0	15.0	1.0
115	545	Quinacridone Magenta	#A34289	163	66	137	30.0	87.0	0.0	0.0
116	544	Purple Lake	#402438	64	36	56	64.0	88.0	44.0	41.0
117	669	Ultramarine Pink	#800E57	128	14	87	17.0	100.0	0.0	33.0
118	380	Magenta	#932560	147	37	96	35.0	100.0	28.0	5.0
119	489	Permanent Magenta	#7D224C	125	34	76	38.0	100.0	41.0	17.0
120	479	Permanent Carmine	#A92A51	169	42	81	21.0	98.0	52.0	5.0
121	543	Purple Madder	#551628	85	22	40	35.0	100.0	66.0	46.0
122	502	Permanent Rose	#B62548	182	37	72	15.0	100.0	65.0	3.0
123	411	Ruby Madder Alizarin	#991634	153	22	52	0.0	100.0	63.0	31.0
124	587	Rose Madder Genuine	#CF4C65	207	76	101	7.0	84.0	42.0	0.0
125	548	Quinacridone Red	#DA374E	218	55	78	0.0	93.0	61.0	0.0
